id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
157,Alloway,,QLD,Queensland,4670,Rural locality,-24.95238,152.36214,29,490,30524,72.78800,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
158,Allworth,,NSW,New South Wales,2425,Rural locality,-32.54169,151.96093,20,166,31512,18.25100,Mid-Coast (Area),Mid North Coast,Australia/Sydney
159,Allynbrook,,NSW,New South Wales,2311,Rural locality,-32.36334,151.53623,89,64,35724,34.18200,Dungog (Area),Hunter Valley exc Newcastle,Australia/Sydney
160,Alma,,SA,South Australia,5401,Rural locality,-34.26662,138.63086,177,75,37700,102.78600,Wakefield (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
161,Alma,,VIC,Victoria,3465,Rural locality,-37.02881,143.67682,212,201,22204,20.69400,Central Goldfields (Shire),Ballarat,Australia/Melbourne
162,Alma,,WA,Western Australia,6535,Rural locality,-28.23338,114.69358,281,114,33280,342.00500,Northampton (Shire),Western Australia - Outback (South),Australia/Perth
163,Almaden,,QLD,Queensland,4871,Rural locality,-17.34006,144.67813,498,71,25116,797.52500,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
164,Alma Park,,NSW,New South Wales,2659,Rural locality,-35.60413,146.79169,213,55,53300,87.68500,Greater Hume Shire (Area),Murray,Australia/Sydney
165,Almonds,,VIC,Victoria,3727,Rural locality,-36.22497,146.06069,177,26,19916,31.57200,Moira (Shire),Shepparton,Australia/Melbourne
166,Almurta,,VIC,Victoria,3979,Rural locality,-38.45863,145.58388,66,48,35724,16.58900,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
167,Alonnah,,TAS,Tasmania,7150,Rural locality,-43.32148,147.24218,5,137,24544,15.17000,Kingborough (Municipality),South East,Australia/Hobart
168,Aloomba,,QLD,Queensland,4871,Rural locality,-17.11626,145.83486,13,529,38480,110.98000,Cairns (Regional Council),Cairns,Australia/Brisbane
169,Alpha,,QLD,Queensland,4724,Urban locality,-23.64966,146.64107,353,335,37076,203.40800,Barcaldine (Regional Council),Queensland - Outback,Australia/Brisbane
170,Alphington,Melbourne,VIC,Victoria,3078,Suburb,-37.78077,145.03116,38,5080,47580,2.81700,Yarra (City),Melbourne - Inner,Australia/Melbourne
171,Alpine,,NSW,New South Wales,2575,Rural locality,-34.40952,150.52396,605,135,38948,23.03300,Wingecarribee (Area),Southern Highlands and Shoalhaven,Australia/Sydney
172,Alpurrurulam,,NT,Northern Territory,4825,Urban locality,-20.98411,137.85075,201,420,13156,9.99300,Barkly (Regional Council),Northern Territory - Outback,Australia/Darwin
173,Alsace,,QLD,Queensland,4702,Rural locality,-23.27589,149.35051,134,3,0,351.82300,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
