id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
272,Appleby,,NSW,New South Wales,2340,Rural locality,-30.96493,150.82515,365,37,42328,18.15200,Tamworth Regional (Area),New England and North West,Australia/Sydney
273,Applecross,Perth,WA,Western Australia,6153,Suburb,-32.01940,115.83322,10,6887,49608,3.19500,Melville (City),Perth - South West,Australia/Perth
274,Applethorpe,,QLD,Queensland,4378,Rural locality,-28.61395,151.95549,880,511,25532,46.81000,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
275,Apple Tree Creek,,QLD,Queensland,4660,Urban locality,-25.21521,152.23400,80,639,23036,23.87900,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
276,Appletree Flat,,NSW,New South Wales,2330,Rural locality,-32.51231,150.86485,111,16,31824,28.53200,Singleton (Area),Hunter Valley exc Newcastle,Australia/Sydney
277,Apple Tree Flat,,NSW,New South Wales,2850,Rural locality,-32.68522,149.70505,490,41,34528,17.02200,Mid-Western Regional (Area),Central West,Australia/Sydney
278,Apslawn,,TAS,Tasmania,7190,Rural locality,-41.95662,148.16487,43,18,31824,76.21100,Glamorgan/Spring Bay (Municipality),South East,Australia/Hobart
279,Apsley,,NSW,New South Wales,2820,Rural locality,-32.59836,148.96393,337,107,21580,28.23000,Dubbo Regional (Area),Far West and Orana,Australia/Sydney
280,Apsley,,TAS,Tasmania,7030,Rural locality,-42.41812,147.13831,297,35,35724,68.36400,Central Highlands (Municipality),South East,Australia/Hobart
281,Apsley,,VIC,Victoria,3319,Rural locality,-36.96756,141.08075,108,277,30004,332.11700,West Wimmera (Shire),North West,Australia/Melbourne
282,Arable,,NSW,New South Wales,2630,Rural locality,-36.36737,148.94553,910,12,48516,116.32700,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
283,Arakoon,South West Rocks,NSW,New South Wales,2431,Suburb,-30.88823,153.06696,12,420,29328,24.79400,Kempsey (Area),Mid North Coast,Australia/Sydney
284,Araluen,,NSW,New South Wales,2622,Rural locality,-35.64693,149.81215,155,168,22776,121.27400,Queanbeyan-Palerang Regional (Area),Capital Region,Australia/Sydney
285,Araluen,Alice Springs,NT,Northern Territory,0870,Suburb,-23.70239,133.84954,585,2706,57044,4.14700,Alice Springs (Town),Northern Territory - Outback,Australia/Darwin
286,Araluen,,QLD,Queensland,4570,Rural locality,-26.15949,152.66767,104,614,28340,6.56800,Gympie (Regional Council),Wide Bay,Australia/Brisbane
287,Aramac,,QLD,Queensland,4726,Urban locality,-22.97216,145.24543,229,299,31616,39.49000,Barcaldine (Regional Council),Queensland - Outback,Australia/Brisbane
288,Aramara,,QLD,Queensland,4620,Rural locality,-25.61128,152.32592,129,57,23088,74.82700,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
289,Arana Hills,Brisbane,QLD,Queensland,4054,Suburb,-27.39752,152.95954,46,6810,42900,3.65400,Moreton Bay (Regional Council),Moreton Bay - South,Australia/Brisbane
290,Aranbanga,,QLD,Queensland,4625,Rural locality,-25.80681,151.67007,314,10,13000,221.39100,North Burnett (Regional Council),Wide Bay,Australia/Brisbane
291,Aranda,Canberra,ACT,Australian Capital Territory,2614,Suburb,-35.25796,149.07565,632,2393,62140,1.56300,Unincorporated,Australian Capital Territory,Australia/Sydney
292,Ararat,,VIC,Victoria,3377,Urban locality,-37.28430,142.92823,336,8297,29172,161.17900,Ararat (Rural City),North West,Australia/Melbourne
293,Aratula,,NSW,New South Wales,2714,Rural locality,-35.78620,145.29243,108,9,0,163.38100,Murray River (Area),Murray,Australia/Sydney
294,Aratula,,QLD,Queensland,4309,Urban locality,-27.98146,152.54862,112,532,28496,26.24700,Scenic Rim (Regional Council),Ipswich,Australia/Brisbane
295,Arawata,,VIC,Victoria,3951,Rural locality,-38.39491,145.88822,280,79,29120,22.53900,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
296,Arbouin,,QLD,Queensland,4892,Rural locality,-17.06157,143.99539,242,0,0,1062.03200,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
297,Arbuckle,,VIC,Victoria,3858,Rural locality,-37.36904,146.82917,1306,0,0,150.50600,Wellington (Shire),Latrobe - Gippsland,Australia/Melbourne
298,Arcadia,,NSW,New South Wales,2159,Rural locality,-33.62310,151.05273,216,1385,40144,22.40900,Hornsby (Area),Sydney - Baulkham Hills and Hawkesbury,Australia/Sydney
299,Arcadia,,QLD,Queensland,4819,Urban locality,-19.15104,146.86423,10,248,25272,5.85100,Townsville (City),Townsville,Australia/Brisbane
300,Arcadia,,VIC,Victoria,3631,Rural locality,-36.54160,145.36256,124,217,36868,76.04900,Greater Shepparton (City),Shepparton,Australia/Melbourne
301,Arcadia South,,VIC,Victoria,3631,Rural locality,-36.59378,145.38112,129,75,28600,69.50700,Strathbogie (Shire),Hume,Australia/Melbourne
302,Arcadia Vale,Newcastle,NSW,New South Wales,2283,Suburb,-33.06034,151.57582,34,1378,31824,1.34600,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
303,Arcadia Valley,,QLD,Queensland,4702,Rural locality,-25.02985,148.81407,537,102,48724,2115.80400,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
304,Archdale,,VIC,Victoria,3475,Rural locality,-36.83090,143.50230,204,21,18928,41.46400,Central Goldfields (Shire),Ballarat,Australia/Melbourne
305,Archdale Junction,,VIC,Victoria,3475,Rural locality,-36.88492,143.51731,204,6,29900,38.09900,Central Goldfields (Shire),Ballarat,Australia/Melbourne
306,Archer,,NT,Northern Territory,0830,Rural locality,-12.51182,130.97059,13,0,0,11.32500,Palmerston (City),Darwin,Australia/Darwin
307,Archerfield,Brisbane,QLD,Queensland,4108,Suburb,-27.56839,153.02417,15,544,27664,4.62300,Brisbane (City),Brisbane - South,Australia/Brisbane
308,Archer River,,QLD,Queensland,4892,Rural locality,-13.34792,142.52661,82,22,55224,9381.43100,Cook (Shire),Queensland - Outback,Australia/Brisbane
309,Archerton,,VIC,Victoria,3723,Rural locality,-36.89447,146.25651,945,17,33748,78.97100,Benalla (Rural City),Hume,Australia/Melbourne
310,Archies Creek,,VIC,Victoria,3995,Rural locality,-38.54829,145.56373,25,22,22100,0.06900,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
311,Arcoona,,SA,South Australia,5720,Rural locality,-31.20422,137.19217,94,10,84500,6823.44600,Unincorporated,South Australia - Outback,Australia/Adelaide
312,Arcturus,,QLD,Queensland,4722,Rural locality,-23.98933,148.33948,197,75,46124,1206.34300,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
313,Ardath,,WA,Western Australia,6419,Rural locality,-32.03476,118.10277,280,57,31824,358.31100,Bruce Rock (Shire),Western Australia - Wheat Belt,Australia/Perth
314,Ardeer,Melbourne,VIC,Victoria,3022,Suburb,-37.77596,144.80104,46,3103,26416,2.13100,Brimbank (City),Melbourne - West,Australia/Melbourne
315,Ardglen,,NSW,New South Wales,2338,Rural locality,-31.73451,150.78559,627,59,25220,72.27300,Liverpool Plains (Area),New England and North West,Australia/Sydney
316,Arding,,NSW,New South Wales,2358,Rural locality,-30.58855,151.55675,1053,208,30628,54.77100,Uralla (Area),New England and North West,Australia/Sydney
317,Ardlethan,,NSW,New South Wales,2665,Urban locality,-34.35736,146.90340,203,519,21580,538.87300,Coolamon (Area),Riverina,Australia/Sydney
318,Ardmona,,VIC,Victoria,3629,Rural locality,-36.37854,145.29537,110,487,35152,39.21100,Greater Shepparton (City),Shepparton,Australia/Melbourne
319,Ardross,Perth,WA,Western Australia,6153,Suburb,-32.02488,115.84141,19,4232,41808,2.25900,Melville (City),Perth - South West,Australia/Perth
320,Ardrossan,,SA,South Australia,5571,Urban locality,-34.42295,137.91681,33,1167,24388,24.29700,Yorke Peninsula (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
321,Areegra,,VIC,Victoria,3480,Rural locality,-36.23825,142.68032,112,35,36400,114.86500,Yarriambiack (Shire),North West,Australia/Melbourne
322,Areyonga,,NT,Northern Territory,0872,Urban locality,-24.07205,132.26771,675,195,12324,6.98100,MacDonnell (Regional Council),Northern Territory - Outback,Australia/Darwin
323,Argalong,,NSW,New South Wales,2720,Rural locality,-35.31550,148.45387,770,29,39208,132.30300,Snowy Valleys (Area),Riverina,Australia/Sydney
324,Argenton,Newcastle,NSW,New South Wales,2284,Suburb,-32.93481,151.63088,8,1351,25480,1.52300,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
325,Argents Hill,,NSW,New South Wales,2449,Rural locality,-30.62195,152.74633,92,221,22516,76.25500,Nambucca Valley (Area),Mid North Coast,Australia/Sydney
326,Argoon,,NSW,New South Wales,2707,Rural locality,-34.85828,145.67415,113,13,18200,247.12500,Murrumbidgee (Area),Riverina,Australia/Sydney
327,Argoon,,QLD,Queensland,4702,Rural locality,-24.25515,150.43348,164,151,39052,164.77500,Banana (Shire),Central Queensland,Australia/Brisbane
328,Argyle,,VIC,Victoria,3523,Rural locality,-36.96763,144.71685,307,215,23608,19.73900,Greater Bendigo (City),Bendigo,Australia/Melbourne
329,Argyle,,WA,Western Australia,6239,Rural locality,-33.54822,115.76634,61,545,34996,13.79300,Donnybrook-Balingup (Shire),Bunbury,Australia/Perth
330,Argyll,,QLD,Queensland,4721,Rural locality,-23.27732,147.56250,351,31,31148,1240.42700,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
331,Ariah Park,,NSW,New South Wales,2665,Urban locality,-34.34811,147.22122,253,493,27300,489.99100,Temora (Area),Riverina,Australia/Sydney
332,Arkaroola Village,,SA,South Australia,5732,Rural locality,-30.13370,139.64033,64,54,82316,6058.80800,Unincorporated,South Australia - Outback,Australia/Adelaide
333,Arkell,,NSW,New South Wales,2795,Rural locality,-33.72778,149.38295,944,43,36140,66.86000,Bathurst Regional (Area),Central West,Australia/Sydney
334,Arkstone,,NSW,New South Wales,2795,Rural locality,-34.04242,149.64425,957,22,46748,79.37100,Oberon (Area),Central West,Australia/Sydney
335,Armadale,Melbourne,VIC,Victoria,3143,Suburb,-37.85532,145.01914,48,9054,55068,2.15500,Stonnington (City),Melbourne - Inner,Australia/Melbourne
336,Armadale,Perth,WA,Western Australia,6112,Suburb,-32.15239,116.00827,55,13619,26364,8.37100,Armadale (City),Perth - South East,Australia/Perth
337,Armagh,,SA,South Australia,5453,Rural locality,-33.83679,138.57943,401,362,38376,16.19000,Clare and Gilbert Valleys (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
338,Armatree,,NSW,New South Wales,2828,Rural locality,-31.44798,148.46345,240,153,38740,484.98000,Gilgandra (Area),Far West and Orana,Australia/Sydney
339,Armidale,,NSW,New South Wales,2350,Major urban locality,-30.51417,151.66899,979,23352,29328,274.60000,Armidale Regional (Area),New England and North West,Australia/Sydney
340,Armstrong,,VIC,Victoria,3377,Rural locality,-37.21003,142.88499,306,88,26468,19.18500,Ararat (Rural City),North West,Australia/Melbourne
341,Armstrong Beach,,QLD,Queensland,4737,Urban locality,-21.45491,149.28956,10,863,33176,22.23600,Mackay (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
342,Armstrong Creek,,QLD,Queensland,4520,Rural locality,-27.22574,152.82965,73,325,39156,34.30500,Moreton Bay (Regional Council),Moreton Bay - South,Australia/Brisbane
343,Armstrong Creek,Geelong,VIC,Victoria,3217,Suburb,-38.23465,144.36940,12,4247,45760,19.52700,Greater Geelong (City),Geelong,Australia/Melbourne
344,Arncliffe,Sydney,NSW,New South Wales,2205,Suburb,-33.93632,151.14469,26,10590,32708,2.94300,Bayside (Area),Sydney - Inner South West,Australia/Sydney
345,Arndell Park,Sydney,NSW,New South Wales,2148,Suburb,-33.78727,150.87196,45,27,46800,2.00100,Blacktown (City),Sydney - Blacktown,Australia/Sydney
346,Arno Bay,,SA,South Australia,5603,Urban locality,-33.91190,136.56835,2,331,28496,233.63400,Cleve (District Council),South Australia - Outback,Australia/Adelaide
347,Arnold,,NT,Northern Territory,0852,Rural locality,-15.80974,134.14711,145,27,46800,18238.47500,Roper Gulf (Regional Council),Northern Territory - Outback,Australia/Darwin
348,Arnold,,VIC,Victoria,3551,Rural locality,-36.69082,143.86837,163,47,24856,49.49000,Loddon (Shire),Bendigo,Australia/Melbourne
349,Arnold West,,VIC,Victoria,3551,Rural locality,-36.66177,143.76205,199,22,20228,34.54900,Loddon (Shire),Bendigo,Australia/Melbourne
350,Aroona,Sunshine Coast,QLD,Queensland,4551,Suburb,-26.77538,153.11317,16,3287,32864,1.89200,Sunshine Coast (Regional Council),Sunshine Coast,Australia/Brisbane
351,Arrawarra,,NSW,New South Wales,2456,Urban locality,-30.05960,153.18789,15,523,21840,2.81800,Coffs Harbour (City),Coffs Harbour - Grafton,Australia/Sydney
352,Arrawarra Headland,,NSW,New South Wales,2456,Urban locality,-30.05977,153.20274,13,557,29432,2.68000,Coffs Harbour (City),Coffs Harbour - Grafton,Australia/Sydney
353,Arriga,,QLD,Queensland,4880,Rural locality,-17.10991,145.30199,501,1079,40248,155.72000,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
354,Arrino,,WA,Western Australia,6519,Rural locality,-29.44006,115.62837,267,50,22100,398.72600,Three Springs (Shire),Western Australia - Outback (South),Australia/Perth
355,Arrowsmith,,WA,Western Australia,6525,Rural locality,-29.54356,115.06993,32,12,37648,820.67000,Irwin (Shire),Western Australia - Outback (South),Australia/Perth
356,Arrowsmith East,,WA,Western Australia,6519,Rural locality,-29.61460,115.34013,196,43,60112,812.01100,Three Springs (Shire),Western Australia - Outback (South),Australia/Perth
357,Artarmon,Sydney,NSW,New South Wales,2064,Suburb,-33.80943,151.18566,86,9523,53456,2.53500,Willoughby (City),Sydney - North Sydney and Hornsby,Australia/Sydney
358,Arthur River,,TAS,Tasmania,7330,Rural locality,-41.05955,144.68187,39,57,22100,38.59100,Circular Head (Municipality),West and North West,Australia/Hobart
359,Arthur River,,WA,Western Australia,6315,Rural locality,-33.33805,117.03417,290,112,28912,477.25600,West Arthur (Shire),Western Australia - Wheat Belt,Australia/Perth
360,Arthurs Creek,,VIC,Victoria,3099,Rural locality,-37.58770,145.21816,132,496,37336,39.17500,Nillumbik (Shire),Melbourne - North East,Australia/Melbourne
361,Arthurs Lake,,TAS,Tasmania,7030,Rural locality,-42.00249,146.96593,958,18,14560,216.80800,Central Highlands (Municipality),South East,Australia/Hobart
362,Arthurs Seat,,VIC,Victoria,3936,Urban locality,-38.35443,144.94979,308,394,38376,8.81500,Mornington Peninsula (Shire),Mornington Peninsula,Australia/Melbourne
363,Arthurton,,SA,South Australia,5572,Rural locality,-34.25753,137.75640,204,148,39312,145.01100,Yorke Peninsula (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
364,Arthurville,,NSW,New South Wales,2820,Rural locality,-32.55484,148.74271,310,36,45032,72.54000,Dubbo Regional (Area),Far West and Orana,Australia/Sydney
365,Arumbera,,NT,Northern Territory,0873,Rural locality,-23.78482,133.81467,558,268,13416,70.08800,Alice Springs (Town),Northern Territory - Outback,Australia/Darwin
366,Arumpo,,NSW,New South Wales,2715,Rural locality,-33.87362,142.88526,77,34,34580,5396.40800,Wentworth (Area),Murray,Australia/Sydney
367,Arundel,Gold Coast,QLD,Queensland,4214,Suburb,-27.93971,153.37278,14,10246,31980,10.38300,Gold Coast (City),Gold Coast,Australia/Brisbane
368,Ascot,Brisbane,QLD,Queensland,4007,Suburb,-27.43027,153.05868,35,5777,52936,2.73600,Brisbane (City),Brisbane Inner City,Australia/Brisbane
369,Ascot,,QLD,Queensland,4360,Rural locality,-27.82540,151.99673,466,31,37700,33.48400,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
370,Ascot,,VIC,Victoria,3364,Rural locality,-37.40088,143.80251,416,96,27768,36.42900,Ballarat (City),Ballarat,Australia/Melbourne
371,Ascot,Bendigo,VIC,Victoria,3551,Suburb,-36.71225,144.33338,198,1968,35464,10.55200,Greater Bendigo (City),Bendigo,Australia/Melbourne
372,Ascot,Perth,WA,Western Australia,6104,Suburb,-31.94068,115.92300,4,2572,46176,3.76100,Belmont (City),Perth - South East,Australia/Perth
373,Ascot Park,Adelaide,SA,South Australia,5043,Suburb,-34.98693,138.56464,26,3293,32084,1.00400,Marion (City),Adelaide - South,Australia/Adelaide
374,Ascot Vale,Melbourne,VIC,Victoria,3032,Suburb,-37.77583,144.92338,38,14750,42848,3.83600,Moonee Valley (City),Melbourne - Inner,Australia/Melbourne
375,Ashbourne,,SA,South Australia,5157,Rural locality,-35.28283,138.77018,154,281,34424,58.45600,Alexandrina (District Council),South Australia - South East,Australia/Adelaide
376,Ashbourne,,VIC,Victoria,3442,Rural locality,-37.40543,144.45857,648,196,47736,37.84300,Macedon Ranges (Shire),Bendigo,Australia/Melbourne
377,Ashburton,Melbourne,VIC,Victoria,3147,Suburb,-37.86339,145.07942,60,7751,42536,2.92300,Boroondara (City),Melbourne - Inner East,Australia/Melbourne
378,Ashbury,Sydney,NSW,New South Wales,2193,Suburb,-33.90190,151.11932,20,3329,38636,1.03100,Canterbury-Bankstown (Area),Sydney - Inner West,Australia/Sydney
379,Ashby,,NSW,New South Wales,2463,Rural locality,-29.42393,153.18745,25,326,25480,14.03000,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
380,Ashby,Perth,WA,Western Australia,6065,Suburb,-31.73421,115.79245,39,2665,35932,1.40300,Wanneroo (City),Perth - North West,Australia/Perth
381,Ashby Heights,,NSW,New South Wales,2463,Rural locality,-29.41374,153.17939,122,232,22568,32.34900,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
382,Ashby Island,,NSW,New South Wales,2463,Rural locality,-29.43097,153.20263,1,16,35048,2.41000,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
383,Ashcroft,Sydney,NSW,New South Wales,2168,Suburb,-33.91759,150.89910,17,3585,21060,1.15400,Liverpool (City),Sydney - South West,Australia/Sydney
384,Ashendon,,WA,Western Australia,6111,Rural locality,-32.23124,116.14054,349,15,49348,210.52500,Armadale (City),Perth - South East,Australia/Perth
385,Ashfield,Sydney,NSW,New South Wales,2131,Suburb,-33.88953,151.12586,47,23841,35412,3.41400,Inner West (Area),Sydney - Inner West,Australia/Sydney
386,Ashfield,Bundaberg,QLD,Queensland,4670,Suburb,-24.87276,152.39614,26,793,39780,4.88400,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
387,Ashfield,Perth,WA,Western Australia,6054,Suburb,-31.91520,115.93764,23,1317,31876,0.80200,Bassendean (Town),Perth - North East,Australia/Perth
388,Ashford,,NSW,New South Wales,2361,Urban locality,-29.32125,151.09608,430,652,22152,681.04700,Inverell (Area),New England and North West,Australia/Sydney
389,Ashford,Adelaide,SA,South Australia,5035,Suburb,-34.94871,138.57395,31,959,35256,0.32900,West Torrens (City),Adelaide - West,Australia/Adelaide
390,Ashgrove,Brisbane,QLD,Queensland,4060,Suburb,-27.44560,152.99212,38,13039,50024,5.82600,Brisbane (City),Brisbane Inner City,Australia/Brisbane
391,Ashley,,NSW,New South Wales,2400,Urban locality,-29.31777,149.80806,204,365,40040,332.76700,Moree Plains (Area),New England and North West,Australia/Sydney
392,Ashmont,Wagga Wagga,NSW,New South Wales,2650,Suburb,-35.12318,147.32996,190,3828,26260,2.42900,Wagga Wagga (City),Riverina,Australia/Sydney
393,Ashmore,Gold Coast,QLD,Queensland,4214,Suburb,-27.98638,153.38205,27,11910,32968,6.83100,Gold Coast (City),Gold Coast,Australia/Brisbane
394,Ashton,,SA,South Australia,5137,Rural locality,-34.93973,138.73739,546,511,40612,6.74300,Adelaide Hills (District Council),Adelaide - Central and Hills,Australia/Adelaide
395,Ashtonfield,Maitland,NSW,New South Wales,2323,Suburb,-32.77382,151.60100,43,4645,39936,6.83400,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
396,Ashville,,SA,South Australia,5259,Rural locality,-35.51045,139.36576,7,34,25428,113.22800,The Coorong (District Council),South Australia - South East,Australia/Adelaide
397,Ashwell,,QLD,Queensland,4340,Rural locality,-27.62846,152.56010,73,85,24128,7.53400,Ipswich (City),Ipswich,Australia/Brisbane
398,Ashwood,Melbourne,VIC,Victoria,3147,Suburb,-37.86469,145.09306,76,6886,33800,2.54500,Monash (City),Melbourne - South East,Australia/Melbourne
399,Aspendale,Melbourne,VIC,Victoria,3195,Suburb,-38.02648,145.10191,10,6940,41184,3.02900,Kingston (City),Melbourne - Inner South,Australia/Melbourne
400,Aspendale Gardens,Melbourne,VIC,Victoria,3195,Suburb,-38.02346,145.11837,5,6530,34788,3.24000,Kingston (City),Melbourne - Inner South,Australia/Melbourne
401,Aspley,Brisbane,QLD,Queensland,4034,Suburb,-27.36386,153.01574,25,12108,37908,6.30000,Brisbane (City),Brisbane - North,Australia/Brisbane
402,Asquith,Sydney,NSW,New South Wales,2077,Suburb,-33.68748,151.10869,186,3376,40924,3.50200,Hornsby (Area),Sydney - North Sydney and Hornsby,Australia/Sydney
403,Athelstone,Adelaide,SA,South Australia,5076,Suburb,-34.86980,138.70285,121,9152,35256,6.20400,Campbelltown (City),Adelaide - Central and Hills,Australia/Adelaide
404,Atherton,,QLD,Queensland,4883,Urban locality,-17.26827,145.47457,766,7331,27456,94.04600,Tablelands (Regional Council),Cairns,Australia/Brisbane
405,Athlone,,VIC,Victoria,3818,Rural locality,-38.23990,145.77982,79,122,25636,30.36000,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
406,Athol,,QLD,Queensland,4350,Rural locality,-27.61535,151.77485,517,134,37128,26.74600,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
407,Athol Park,Adelaide,SA,South Australia,5012,Suburb,-34.85768,138.54263,9,2084,24960,0.94300,Charles Sturt (City),Adelaide - West,Australia/Adelaide
408,Atholwood,,NSW,New South Wales,2361,Rural locality,-28.99964,151.05801,420,79,18200,454.45600,Inverell (Area),New England and North West,Australia/Sydney
409,Atitjere,,NT,Northern Territory,0872,Urban locality,-22.98305,134.93172,571,224,21008,7.01400,Central Desert (Regional Council),Northern Territory - Outback,Australia/Darwin
410,Atkinsons Dam,,QLD,Queensland,4311,Rural locality,-27.42101,152.45551,63,205,23296,26.68900,Somerset (Regional Council),Ipswich,Australia/Brisbane
411,Attadale,Perth,WA,Western Australia,6156,Suburb,-32.02581,115.80135,18,6335,47840,3.10200,Melville (City),Perth - South West,Australia/Perth
412,Attunga,,NSW,New South Wales,2345,Rural locality,-30.89480,150.82465,469,571,33228,218.72100,Tamworth Regional (Area),New England and North West,Australia/Sydney
413,Attwood,Melbourne,VIC,Victoria,3049,Suburb,-37.66752,144.88529,120,3419,36296,5.05900,Hume (City),Melbourne - North West,Australia/Melbourne
414,Atwell,Perth,WA,Western Australia,6164,Suburb,-32.13280,115.86059,26,9063,43108,3.54100,Cockburn (City),Perth - South West,Australia/Perth
415,Aubigny,,QLD,Queensland,4401,Rural locality,-27.52223,151.64174,418,254,35932,57.54000,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
416,Aubin Grove,Perth,WA,Western Australia,6164,Suburb,-32.16841,115.86112,27,6324,48724,2.47300,Cockburn (City),Perth - South West,Australia/Perth
417,Aubrey,,VIC,Victoria,3393,Rural locality,-36.24110,142.23414,118,10,31148,61.60900,Yarriambiack (Shire),North West,Australia/Melbourne
418,Auburn,Sydney,NSW,New South Wales,2144,Suburb,-33.84932,151.03342,24,37366,22568,8.56400,Cumberland (Area),Sydney - Parramatta,Australia/Sydney
419,Auburn,,QLD,Queensland,4413,Rural locality,-25.99990,150.50818,308,26,48516,1156.86600,Western Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
420,Auburn,,SA,South Australia,5451,Urban locality,-34.02800,138.68164,319,661,31564,119.85300,Clare and Gilbert Valleys (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
421,Auburn Vale,,NSW,New South Wales,2360,Rural locality,-29.83895,151.04172,637,123,39832,63.64700,Inverell (Area),New England and North West,Australia/Sydney
422,Auchenflower,Brisbane,QLD,Queensland,4066,Suburb,-27.47553,152.99342,16,5870,49504,1.37900,Brisbane (City),Brisbane Inner City,Australia/Brisbane
423,Auchmore,,VIC,Victoria,3570,Rural locality,-36.47236,144.09569,120,13,43316,74.53300,Loddon (Shire),Bendigo,Australia/Melbourne
424,Augathella,,QLD,Queensland,4477,Urban locality,-25.79469,146.58661,372,449,26884,1459.05000,Murweh (Shire),Queensland - Outback,Australia/Brisbane
425,Augusta,,WA,Western Australia,6290,Urban locality,-34.31594,115.15973,35,1382,25272,29.94400,Augusta-Margaret River (Shire),Bunbury,Australia/Perth
426,Augustine Heights,Brisbane,QLD,Queensland,4300,Suburb,-27.66915,152.89354,87,4880,52208,5.62400,Ipswich (City),Ipswich,Australia/Brisbane
427,Auldana,Adelaide,SA,South Australia,5072,Suburb,-34.91972,138.68440,199,625,38480,0.60900,Burnside (City),Adelaide - Central and Hills,Australia/Adelaide
428,Aurukun,,QLD,Queensland,4892,Rural locality,-13.60938,141.82845,51,1269,13520,7423.98900,Aurukun (Shire),Queensland - Outback,Australia/Brisbane
429,Austinmer,Wollongong,NSW,New South Wales,2515,Suburb,-34.30628,150.93456,8,2560,45760,3.33800,Wollongong (City),Illawarra,Australia/Sydney
430,Austins Ferry,Hobart,TAS,Tasmania,7011,Suburb,-42.77503,147.24882,42,2251,33436,2.13500,Glenorchy (City),Hobart,Australia/Hobart
431,Austinville,,QLD,Queensland,4213,Rural locality,-28.13582,153.31749,104,356,31980,22.40400,Gold Coast (City),Gold Coast,Australia/Brisbane
432,Austral,Sydney,NSW,New South Wales,2179,Suburb,-33.93311,150.81203,85,3024,26884,17.66100,Liverpool (City),Sydney - South West,Australia/Sydney
433,Austral Eden,,NSW,New South Wales,2440,Rural locality,-31.02195,152.93780,4,148,30888,13.61900,Kempsey (Area),Mid North Coast,Australia/Sydney
434,Australia Plains,,SA,South Australia,5374,Rural locality,-34.09380,139.16909,272,26,24128,91.36900,Goyder (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
435,Australind,Bunbury,WA,Western Australia,6233,Suburb,-33.27903,115.71443,7,14539,35932,23.06200,Harvey (Shire),Bunbury,Australia/Perth
436,Avalon,,VIC,Victoria,3212,Rural locality,-38.05097,144.45169,10,293,21164,45.16500,Greater Geelong (City),Geelong,Australia/Melbourne
437,Avalon Beach,Sydney,NSW,New South Wales,2107,Suburb,-33.63633,151.33060,10,9905,43628,5.13100,Northern Beaches (Area),Sydney - Northern Beaches,Australia/Sydney
438,Aveley,Perth,WA,Western Australia,6069,Suburb,-31.78131,115.98923,29,10173,47164,6.10200,Swan (City),Perth - North East,Australia/Perth
439,Avenel,,VIC,Victoria,3664,Urban locality,-36.89279,145.23059,150,1048,30940,204.91000,Strathbogie (Shire),Hume,Australia/Melbourne
440,Avenell Heights,Bundaberg,QLD,Queensland,4670,Suburb,-24.89048,152.37388,27,4871,25844,3.05200,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
441,Avenue Range,,SA,South Australia,5273,Rural locality,-36.90180,140.23000,23,111,37232,316.59400,Naracoorte and Lucindale (District Council),South Australia - South East,Australia/Adelaide
442,Avisford,,NSW,New South Wales,2850,Rural locality,-32.74558,149.48011,541,26,24648,18.30300,Mid-Western Regional (Area),Central West,Australia/Sydney
443,Avoca,,NSW,New South Wales,2577,Rural locality,-34.61352,150.47932,756,199,35620,24.62500,Wingecarribee (Area),Southern Highlands and Shoalhaven,Australia/Sydney
444,Avoca,Bundaberg,QLD,Queensland,4670,Suburb,-24.88185,152.31255,24,4904,27352,6.12100,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
